x_ang,y_ang,z_ang
4.015100000000000335e+01,1.194599999999999973e+01,1.908699999999999974e+01
3.789699999999999847e+01,1.309999999999999964e+01,1.972599999999999909e+01
3.941199999999999903e+01,1.313599999999999923e+01,1.948999999999999844e+01
4.161599999999999966e+01,1.197100000000000009e+01,1.900400000000000134e+01
4.458800000000000097e+01,1.202200000000000024e+01,1.896199999999999974e+01
4.245400000000000063e+01,1.316600000000000037e+01,1.937000000000000099e+01
4.384599999999999653e+01,1.314799999999999969e+01,1.942299999999999827e+01
4.607800000000000296e+01,1.437700000000000067e+01,1.983999999999999986e+01
4.900000000000000355e+00,1.432300000000000040e+01,2.009100000000000108e+01
2.765000000000000124e+00,1.565099999999999980e+01,2.010000000000000142e+01
4.209999999999999964e+00,1.558200000000000074e+01,2.039000000000000057e+01
6.389999999999999680e+00,1.428200000000000003e+01,2.002700000000000102e+01
9.307000000000000384e+00,1.427699999999999925e+01,1.999699999999999989e+01
7.121999999999999886e+00,1.545400000000000063e+01,2.042899999999999849e+01
8.567999999999999616e+00,1.547700000000000031e+01,2.036400000000000077e+01
1.075500000000000078e+01,1.440900000000000070e+01,1.974200000000000088e+01
1.374699999999999989e+01,1.446799999999999997e+01,1.931200000000000117e+01
1.144800000000000040e+01,1.554700000000000060e+01,2.013800000000000168e+01
1.293099999999999916e+01,1.557199999999999918e+01,2.019300000000000139e+01
1.521899999999999942e+01,1.459099999999999930e+01,1.900700000000000145e+01
1.810399999999999920e+01,1.456099999999999994e+01,1.917000000000000171e+01
1.589300000000000068e+01,1.577999999999999936e+01,1.947700000000000031e+01
1.729700000000000060e+01,1.573499999999999943e+01,1.968299999999999983e+01
1.964399999999999835e+01,1.449399999999999977e+01,1.929700000000000060e+01
2.247700000000000031e+01,1.441999999999999993e+01,1.952599999999999980e+01
2.029700000000000060e+01,1.570199999999999996e+01,1.983899999999999864e+01
2.170700000000000074e+01,1.571299999999999919e+01,1.983999999999999986e+01
2.394300000000000139e+01,1.431900000000000084e+01,1.976099999999999923e+01
2.693499999999999872e+01,1.423199999999999932e+01,2.003699999999999903e+01
2.471399999999999864e+01,1.552699999999999925e+01,2.031899999999999906e+01
2.620200000000000173e+01,1.548300000000000054e+01,2.034600000000000009e+01
2.842200000000000060e+01,1.432000000000000028e+01,1.996099999999999852e+01
3.130600000000000094e+01,1.433099999999999952e+01,2.014199999999999946e+01
2.910999999999999943e+01,1.549200000000000088e+01,2.041700000000000159e+01
3.060300000000000153e+01,1.546400000000000041e+01,2.055000000000000071e+01
3.277000000000000313e+01,1.429400000000000048e+01,2.025799999999999912e+01
3.565999999999999659e+01,1.425699999999999967e+01,2.027799999999999869e+01
3.350800000000000267e+01,1.537800000000000011e+01,2.091700000000000159e+01
3.492399999999999949e+01,1.542200000000000060e+01,2.082100000000000151e+01
3.719500000000000028e+01,1.421000000000000085e+01,2.032000000000000028e+01
4.017199999999999704e+01,1.425500000000000078e+01,2.012900000000000134e+01
3.791599999999999682e+01,1.539499999999999957e+01,2.071900000000000119e+01
3.942799999999999727e+01,1.536299999999999955e+01,2.069800000000000040e+01
4.158500000000000085e+01,1.438499999999999979e+01,2.001899999999999835e+01
